ID_Karyawan,Nama_Lengkap,Profesi,Perusahaan,Provinsi
0bb921ee,Dian Pratama,Data scientist,Perum Setiawan (Persero) Tbk,Jawa Timur
ce437083,Teddy Usada,Sports coach,CV Purwanti Kuswandari Tbk,Lampung
142cc0d6,Yunita Nuraini,Company secretary,UD Pradana,DI Yogyakarta
5d0c0937,Cut Shania Purwanti,"Engineer, broadcasting (operations)",CV Nugroho Gunawan,Kalimantan Utara
977caf21,"KH. Pranata Anggriawan, S.Psi",Aeronautical engineer,CV Laksmiwati Thamrin Tbk,Maluku Utara
1f361e7e,"Yance Suwarno, M.TI.",Audiological scientist,Perum Kurniawan Susanti,Sumatera Utara
862ed40d,Putri Latupono,Special educational needs teacher,CV Hasanah,Aceh
e16cf76c,Taswir Firgantoro,Transport planner,CV Hidayat Dabukke,DI Yogyakarta
f44d1ad8,Prayogo Hidayanto,Economist,UD Ramadan Mandasari,Papua
5bd1173f,"Muni Novitasari, S.E.",Hydrologist,Perum Sinaga Wulandari (Persero) Tbk,Jawa Timur
fd7e7c36,Dagel Firmansyah,Marketing executive,PT Zulkarnain Tbk,Kepulauan Bangka Belitung
95b2f4a0,Rahmi Pudjiastuti,"Horticulturist, commercial",UD Namaga Tbk,Kalimantan Tengah
c2e09cee,Winda Mahendra,Homeopath,PT Wastuti Maulana Tbk,Sumatera Selatan
6c565728,"Queen Laksmiwati, S.E.I",Best boy,CV Lazuardi Prasetyo,Jawa Barat
f96af5cd,Yono Simbolon,Medical laboratory scientific officer,PD Megantara Utami,Sulawesi Tenggara
c4780d83,Ayu Manullang,Travel agency manager,UD Maheswara Ramadan Tbk,Maluku Utara
56adfa61,"Elvina Riyanti, M.M.",Historic buildings inspector/conservation officer,Perum Santoso Tbk,Maluku Utara
5a21d28a,"H. Edi Astuti, S.Gz","Accountant, chartered certified",PD Sinaga Sudiati,DI Yogyakarta
3e69efc9,Purwadi Maulana,Corporate investment banker,CV Maryati Hassanah Tbk,Jawa Barat
5b4ea59b,"dr. Farah Usada, M.TI.",Food technologist,PT Laksmiwati Tbk,Aceh
a5329c8d,Latif Wulandari,"Radiographer, diagnostic",CV Maulana (Persero) Tbk,Nusa Tenggara Barat
ef2211dd,Wardi Utami,Garment/textile technologist,PD Simbolon,Kalimantan Selatan
02e63319,Jabal Siregar,Artist,Perum Maheswara Megantara,Maluku Utara
27c067af,R.A. Dewi Laksita,Chartered management accountant,Perum Sihotang (Persero) Tbk,Sulawesi Tengah
00c0cb2d,"Dt. Asirwada Zulaika, S.E.I",Colour technologist,CV Rahmawati Tbk,DI Yogyakarta
b8efdbb7,"Kunthara Puspasari, S.Pd","Conservation officer, historic buildings",Perum Damanik Wastuti,Sumatera Selatan
488c3083,Alika Pradipta,Broadcast engineer,PD Mansur Prasasta Tbk,Bali
86116667,Paiman Simbolon,Diplomatic Services operational officer,PD Sinaga,Kalimantan Barat
31feb0a4,Candra Anggriawan,Hospital pharmacist,Perum Mahendra (Persero) Tbk,Jawa Barat
97e9c1ed,Gandi Padmasari,"Engineer, water",PT Mahendra Tbk,Sulawesi Selatan
03159875,"Sutan Galur Kusumo, S.Pd",Jewellery designer,PT Agustina,Sulawesi Utara
346196f1,"T. Jabal Hardiansyah, S.E.",Agricultural engineer,PD Prasetya Anggraini (Persero) Tbk,DI Yogyakarta
31c03634,"Ana Mangunsong, S.E.","Editor, commissioning",Perum Lailasari Latupono (Persero) Tbk,Gorontalo
bb58f81f,R. Himawan Dongoran,Amenity horticulturist,UD Nababan Wibowo,Bengkulu
07ccd1a5,Tira Hariyah,Mental health nurse,PT Maulana Suartini,DKI Jakarta
cf1e7fd6,"Yuni Suryatmi, M.Farm","Accountant, chartered certified",Perum Suwarno Tbk,Kalimantan Barat
0a31b3dc,Jail Wibowo,Nature conservation officer,PD Hutagalung Saefullah,Nusa Tenggara Barat
01b27233,Clara Firmansyah,Colour technologist,Perum Prastuti Rahayu,DKI Jakarta
b56f5f6b,Abyasa Pudjiastuti,Aeronautical engineer,Perum Lailasari Permadi (Persero) Tbk,DI Yogyakarta
ba5cfa94,Almira Dongoran,"Engineer, aeronautical",UD Wijayanti (Persero) Tbk,DI Yogyakarta
580d383e,Lintang Wulandari,Health and safety inspector,CV Waluyo Prastuti Tbk,Kalimantan Barat
396df7f5,drg. Padma Puspita,"Engineer, drilling",CV Gunarto,Jambi
07409b34,"Jaiman Januar, M.Ak","Therapist, horticultural",Perum Lazuardi Pratiwi Tbk,Kalimantan Selatan
859a2608,Kemba Riyanti,Secretary/administrator,UD Oktaviani Prayoga,Sumatera Barat
1f7462a1,Ikin Laksmiwati,Medical secretary,PD Rahimah Mulyani,Sulawesi Selatan
00576cf9,"R. Cahyadi Farida, M.Ak",Health and safety inspector,CV Budiyanto,Sumatera Utara
827a7c7b,Cayadi Megantara,Database administrator,PD Hasanah (Persero) Tbk,Jambi
3a1f27e1,Fitria Siregar,Charity officer,CV Hardiansyah Hardiansyah (Persero) Tbk,Kalimantan Utara
b458a5e5,Hari Santoso,Chief Operating Officer,UD Hardiansyah Tbk,Lampung
57fa08ef,Galak Permadi,Mining engineer,PT Gunawan Januar,Aceh
6b0943ac,Sutan Lasmono Riyanti,Medical sales representative,PT Najmudin Usada,Sumatera Barat
f8503619,Simon Budiman,Environmental consultant,PD Samosir Nasyidah Tbk,Sumatera Barat
5baa767c,"Okto Widiastuti, M.Pd",Textile designer,UD Anggraini,Sulawesi Utara
05f1deb9,Ellis Budiyanto,Mental health nurse,PT Waluyo,Lampung
0c74bcb4,Sutan Baktianto Maryadi,Commercial art gallery manager,PT Hastuti Nasyidah (Persero) Tbk,Aceh
e7ae0792,Tugiman Wibisono,Higher education careers adviser,UD Nasyiah Tbk,Jawa Barat
4cfc794f,Putri Situmorang,"Surveyor, planning and development",CV Lestari Tbk,Kalimantan Selatan
d6bd7dfc,Dasa Prasetya,Data processing manager,UD Santoso (Persero) Tbk,Kalimantan Utara
5d24dd2d,Jessica Hastuti,Local government officer,UD Lailasari Tbk,Jawa Tengah
a2ee2485,Opan Widiastuti,Press photographer,PT Usamah (Persero) Tbk,Maluku Utara
b0cedb1f,KH. Mariadi Nashiruddin,Medical laboratory scientific officer,PT Jailani (Persero) Tbk,Sulawesi Utara
d1e3f60f,drg. Irnanto Sihotang,Midwife,Perum Permadi (Persero) Tbk,Sulawesi Tenggara
71aa89b9,"Cut Jessica Purwanti, S.Kom",Food technologist,Perum Hutagalung,Maluku
26da1c17,Olivia Nasyiah,Human resources officer,PD Zulaika Tbk,Papua Barat
b8783ca5,"Puti Gawati Suryono, M.Pd",Theatre director,Perum Susanti Sitorus (Persero) Tbk,Maluku Utara
4e7416bb,Mila Hakim,IT consultant,PT Iswahyudi Uwais,Kalimantan Timur
11ea6568,Amelia Padmasari,Economist,PT Sirait,Nusa Tenggara Barat
91742367,Yulia Pranowo,Visual merchandiser,PD Maheswara,Kalimantan Tengah
59b53fd5,Suci Ardianto,Operational investment banker,PT Prakasa Laksita,Maluku Utara
b32aa2bb,Kartika Prasetyo,"Scientist, biomedical",PD Zulaika Simanjuntak (Persero) Tbk,Sulawesi Tenggara
a60d8c11,Kambali Pradana,"Conservator, furniture",PD Utama Novitasari,Gorontalo
06b3c36c,Ir. Asirwanda Hidayanto,Data scientist,CV Handayani Nuraini,Kalimantan Barat
cb7369a0,"Jagaraga Yulianti, S.E.I","Pharmacist, hospital",Perum Zulkarnain Siregar Tbk,Jambi
7032ed9a,"R.M. Jaswadi Hidayat, M.Ak",Cabin crew,PT Uwais (Persero) Tbk,Kalimantan Timur
0ded83b2,Ida Astuti,"Engineer, aeronautical",PT Uyainah Kuswoyo Tbk,Nusa Tenggara Timur
51cb2637,Zahra Kurniawan,"Research officer, political party",CV Novitasari Mandasari Tbk,Bengkulu
1b5146a9,Amalia Nuraini,Haematologist,UD Maulana,Nusa Tenggara Barat
28a3f171,Cici Susanti,Osteopath,PD Permadi,Sumatera Barat
5f82a913,Gawati Maheswara,"Scientist, research (life sciences)",Perum Waskita Rajasa Tbk,Jawa Timur
ecb0e300,Uda Hutagalung,Paramedic,CV Riyanti Tbk,Kalimantan Barat
29fed93d,Novi Yulianti,Geochemist,CV Tarihoran,Nusa Tenggara Barat
55bc971d,Agus Hidayanto,Private music teacher,CV Wulandari Yuniar,Sulawesi Tengah
920469d7,"Puti Ade Prakasa, S.IP","Programmer, multimedia",PT Najmudin Wibowo,Papua
eef69c47,"Nasrullah Napitupulu, M.Farm",Product manager,Perum Laksmiwati Tbk,Papua
b99a9e5a,"Daryani Sinaga, S.Sos",Education administrator,CV Mandasari (Persero) Tbk,Papua
7fa96026,"drg. Sabar Pudjiastuti, S.Pt",Psychotherapist,UD Kuswandari,Banten
69536bc6,"Dr. Amelia Aryani, M.M.",Higher education lecturer,PT Lestari Yuliarti,Sulawesi Utara
0dbb66f1,"Hesti Hasanah, S.Farm",Higher education careers adviser,PD Prasasta,Bali
96b414d0,drg. Gilda Hidayanto,Seismic interpreter,Perum Sihombing Hutasoit,Aceh
8ce877fb,"Cut Ami Laksmiwati, S.E.I",Hotel manager,Perum Widodo Wulandari,Sulawesi Barat
28ec3326,Raden Situmorang,"Conservation officer, nature",PD Suryono,Maluku
250bfe2c,Ikin Permadi,Systems developer,PD Yulianti Lestari Tbk,Sulawesi Tenggara
b6faf7be,"Nadine Wasita, S.H.","Engineer, petroleum",Perum Simanjuntak Napitupulu Tbk,Sulawesi Barat
14daf71c,Talia Ramadan,"Teacher, secondary school",CV Yolanda Mustofa,Sumatera Selatan
1d44ebeb,"Aswani Natsir, S.Psi",Sales executive,UD Siregar Wasita,Maluku
c6e59b1a,"Putu Lestari, S.E.",Medical physicist,CV Nashiruddin Tbk,Jambi
8a5bcf00,"dr. Agus Prasetyo, M.Pd",Community pharmacist,CV Puspita,Bali
992b65c4,Laras Purwanti,Geophysical data processor,Perum Usamah Rahmawati,Sulawesi Tengah
ae7b6fe9,Ophelia Melani,Landscape architect,UD Suryatmi Tbk,Bali
e77658d5,"Kayun Gunawan, S.Pt",Visual merchandiser,Perum Kurniawan,Kepulauan Riau
09d53350,"Padmi Rahimah, S.I.Kom",Video editor,PD Prasasta Tbk,Sumatera Utara
e24eb152,"Artanto Astuti, M.Ak","Psychotherapist, child",UD Permata (Persero) Tbk,Nusa Tenggara Timur
67a9f982,drg. Eka Puspasari,Environmental health practitioner,Perum Samosir,Maluku
5d4da13c,Shania Ardianto,Horticultural consultant,PT Laksmiwati Tbk,Kalimantan Timur
5794a009,Ir. Zelda Setiawan,"Psychologist, clinical",PD Januar (Persero) Tbk,Papua Barat
7ab58020,"Irma Fujiati, S.Ked",Academic librarian,UD Iswahyudi Nababan (Persero) Tbk,Maluku Utara
c774c7a5,"Drs. Enteng Anggraini, S.Pd",Radio broadcast assistant,Perum Kusumo Widodo Tbk,Nusa Tenggara Barat
49b63520,"Cut Paramita Yolanda, M.TI.",Print production planner,PT Hutasoit,Sumatera Selatan
b6e498f3,Zizi Adriansyah,Tax inspector,PD Lestari Pradipta Tbk,Nusa Tenggara Timur
619f79d7,Intan Puspita,Associate Professor,PD Uyainah,Bengkulu
05b1613f,Dadap Mardhiyah,Furniture conservator/restorer,PD Maryadi (Persero) Tbk,Jawa Timur
2fd4432f,"Drs. Nova Padmasari, S.Gz",Translator,CV Lazuardi Nasyidah Tbk,Jambi
d6f67c25,"R. Rini Zulkarnain, M.Ak","Therapist, speech and language",Perum Kusmawati Tbk,DI Yogyakarta
18294695,Dirja Melani,Nature conservation officer,PD Kuswoyo Hassanah Tbk,Gorontalo
ce422848,Mumpuni Damanik,Building control surveyor,PT Rahmawati Tbk,Sulawesi Utara
9de5e86e,Septi Siregar,"Surveyor, building",PD Andriani Halim Tbk,Maluku Utara
dc5e8b66,Ir. Kawaya Oktaviani,"Education officer, museum",Perum Anggraini,DI Yogyakarta
38198e87,Siska Rajasa,"Surveyor, commercial/residential",Perum Kuswandari Nasyiah,Kalimantan Barat
876ae63e,Amalia Maheswara,Patent attorney,CV Nainggolan (Persero) Tbk,Riau
c48f30df,"Tgk. Irnanto Pradana, S.E.",Actor,PT Suwarno Rajasa,Kalimantan Utara
fbd61643,"Setya Permata, M.Ak","Scientist, research (physical sciences)",UD Sinaga Tbk,Bali
6018ffbf,Victoria Firmansyah,"Research officer, government",UD Widiastuti (Persero) Tbk,Sumatera Utara
51f93cc0,"Kasusra Pertiwi, M.Kom.",Environmental health practitioner,CV Hutasoit Winarsih Tbk,Nusa Tenggara Timur
