ID_Karyawan,Nama_Lengkap,Profesi,Perusahaan,Provinsi
c825011c,Pia Mansur,Museum education officer,CV Budiman,Papua Barat
1eb91050,Gina Putra,Archaeologist,Perum Maryati,Sulawesi Barat
7edb5223,R. Pia Maheswara,Architect,PD Yulianti (Persero) Tbk,Jawa Barat
4ea3e1c9,"Ir. Zelda Aryani, S.Pd","Presenter, broadcasting",PD Napitupulu Tbk,Jawa Timur
e2b18725,Drs. Lintang Mandala,Diagnostic radiographer,PD Saragih Sihotang,Sumatera Selatan
a684fa9a,Hartaka Firgantoro,"Psychologist, prison and probation services",PD Saefullah Aryani,DI Yogyakarta
3b75b5aa,"H. Nugraha Farida, S.Gz",Bookseller,Perum Maulana,Sulawesi Selatan
eb448c81,Tira Melani,Chartered legal executive (England and Wales),CV Maryadi,Kalimantan Utara
fce9582c,Rini Waluyo,Transport planner,PT Wasita (Persero) Tbk,Sulawesi Tengah
68576c6c,Balijan Utami,Plant breeder/geneticist,UD Waskita Maryati Tbk,Bali
377d32e5,Asirwanda Anggraini,Sub,PT Anggriawan (Persero) Tbk,Riau
f9c928ca,Jasmin Rajata,Educational psychologist,UD Mandala Tbk,DI Yogyakarta
81090daa,"Zizi Latupono, M.Pd","Engineer, control and instrumentation",Perum Hardiansyah Hariyah Tbk,Sumatera Utara
b6679ee7,Hj. Amelia Sihotang,"Geologist, engineering",PD Saputra (Persero) Tbk,Sulawesi Tengah
ed45d71b,"Dartono Padmasari, S.Gz",Sport and exercise psychologist,PD Hutagalung Hutasoit,Kalimantan Tengah
066e10f8,"Cut Lidya Setiawan, S.T.",Private music teacher,UD Safitri,Sulawesi Utara
e7ee8dc5,Jatmiko Pranowo,Forensic psychologist,UD Ramadan Tbk,Jawa Barat
948d687d,Fathonah Palastri,Learning disability nurse,UD Marpaung Kusumo,Jawa Tengah
909aebe3,"Cut Lili Wibowo, S.T.",Production engineer,CV Tampubolon Hutagalung,Jawa Barat
9dc754a7,Zamira Tampubolon,Community arts worker,PD Rajasa Puspasari (Persero) Tbk,Kalimantan Selatan
38535af1,"R.M. Gatot Najmudin, S.Gz","Engineer, control and instrumentation",PT Hariyah Winarno,Kalimantan Selatan
2650ff0e,Rika Tampubolon,Police officer,UD Gunarto Wasita Tbk,Sumatera Barat
11b73fa8,"Okto Rahmawati, S.Kom","Sound technician, broadcasting/film/video",PD Yulianti,Jawa Timur
73403297,Gina Yulianti,Scientific laboratory technician,PD Santoso Utami (Persero) Tbk,Kalimantan Selatan
2986fa94,Drs. Icha Riyanti,Chief of Staff,UD Puspasari Sinaga Tbk,Jawa Tengah
97887d29,Ira Rajata,Information officer,CV Safitri Yuliarti (Persero) Tbk,Jawa Timur
7c4a940e,"Hj. Hani Marbun, S.Farm","Engineer, electronics",PD Saputra Yolanda,Papua Barat
06f6b438,Putri Yulianti,"Surveyor, minerals",Perum Susanti (Persero) Tbk,Kalimantan Barat
b34c11b7,"Kalim Siregar, M.Ak",Clinical cytogeneticist,CV Mandasari (Persero) Tbk,Lampung
0eb41751,Melinda Wulandari,Armed forces logistics/support/administrative officer,PD Mangunsong Rahmawati Tbk,Papua
35c96802,"T. Reksa Tamba, M.Ak",Biomedical scientist,PT Mandasari,Kepulauan Bangka Belitung
3ce46e95,drg. Ika Hariyah,Operational researcher,CV Prasasta,Bali
fdda0020,Zahra Wibowo,Brewing technologist,Perum Suryono Napitupulu,Jambi
e8faa4b8,Vinsen Zulaika,Air broker,CV Budiman Namaga Tbk,Sulawesi Utara
85fc3e30,Ulya Yolanda,Naval architect,Perum Maryadi Tbk,Maluku Utara
db199425,Rika Tarihoran,Operational investment banker,Perum Hutapea Marpaung Tbk,Aceh
cc508265,Rudi Suartini,Statistician,PD Hidayat,Sulawesi Selatan
171cade1,"Natalia Saragih, S.Pd","Journalist, magazine",Perum Prasasta Mangunsong (Persero) Tbk,Sumatera Barat
502faa0f,Dian Mangunsong,Health promotion specialist,Perum Widodo Natsir Tbk,Sumatera Barat
7394d890,Syahrini Putra,"Administrator, charities/voluntary organisations",PD Zulkarnain Haryanti,Sumatera Selatan
17ddf0f6,Alambana Pranowo,Airline pilot,UD Yolanda Puspasari,Jawa Tengah
7e1701dc,dr. Estiawan Kusmawati,Public librarian,CV Hasanah Anggraini (Persero) Tbk,Banten
3a14e35e,Intan Putra,Tourist information centre manager,PT Nababan,Jawa Tengah
a0e6779e,Kartika Sihombing,Facilities manager,Perum Wijayanti,Banten
8097e732,"Puti Michelle Rahimah, S.Farm",Information systems manager,CV Nababan,Jawa Timur
83509030,Paulin Jailani,Estate agent,PD Susanti,Bali
c35f4974,Uchita Hartati,Politician's assistant,PT Wijayanti,DI Yogyakarta
fb644642,Cakrajiya Kurniawan,Community education officer,UD Haryanti,Kalimantan Timur
4f73f9a1,Amelia Anggriawan,Music tutor,UD Siregar Tbk,DI Yogyakarta
5209a22f,Winda Melani,Public affairs consultant,PD Budiyanto Tbk,Bali
a8d7ffa7,"Drs. Edison Situmorang, S.Gz",Civil Service fast streamer,UD Widodo Lailasari Tbk,DKI Jakarta
a8201deb,"R. Wulan Tarihoran, M.TI.",Recruitment consultant,PT Adriansyah,Riau
ebaf312b,Emin Permata,Translator,PT Saragih,Kalimantan Utara
a4929084,"Akarsana Puspita, M.Pd",Neurosurgeon,PD Putra Tbk,Sulawesi Tenggara
e5d5a78d,Ophelia Sirait,Naval architect,PT Adriansyah (Persero) Tbk,Sulawesi Selatan
c2a3cf01,Zamira Sihotang,"Surveyor, planning and development",PT Mulyani Rahimah (Persero) Tbk,Sumatera Utara
f9483cfc,"Dagel Mardhiyah, S.Pt",Minerals surveyor,Perum Hassanah,Kalimantan Timur
bc5fac49,Gasti Winarno,IT sales professional,CV Mahendra,Banten
f28d6696,Zelaya Usamah,Risk manager,PT Laksita Jailani,DKI Jakarta
db960c71,"Darimin Lestari, S.Farm",Solicitor,PT Gunarto,Kalimantan Tengah
