ID_Karyawan,Nama_Lengkap,Profesi,Perusahaan,Provinsi
7c621a8b,drg. Suci Ramadan,"Engineer, electronics",PT Sihombing Hasanah,Kepulauan Riau
36c6ff6a,"KH. Makuta Simbolon, M.TI.",Dance movement psychotherapist,UD Wahyudin Pratama Tbk,Kalimantan Tengah
ae995c36,Kayun Januar,"Librarian, academic",UD Wulandari Tbk,Kalimantan Tengah
5842abf5,Dr. Jumari Kuswandari,Health physicist,PD Waluyo Dabukke (Persero) Tbk,Bali
0ddba951,"Rahmi Suwarno, S.H.","Psychologist, educational",CV Hastuti,Kalimantan Utara
8b32d4f0,Drs. Hasna Halim,"Production assistant, radio",Perum Melani Suryatmi,Jambi
84869c0e,Prima Mardhiyah,Recruitment consultant,UD Prabowo,Jambi
8ebfb5d0,Darimin Putra,Naval architect,PD Aryani,Jawa Tengah
ac1eba69,Ayu Nababan,Water engineer,PD Maheswara Rahmawati,Maluku
28048024,"Ibrani Purnawati, S.IP",Administrator,UD Irawan,Banten
4d107ba2,H. Jamil Samosir,Catering manager,UD Oktaviani (Persero) Tbk,Sumatera Barat
094a6934,"Puti Nurul Gunarto, S.Ked",Computer games developer,CV Mangunsong Sinaga (Persero) Tbk,Kalimantan Utara
3811e528,Wisnu Lailasari,Forensic scientist,UD Prayoga (Persero) Tbk,Riau
076b2140,Martani Gunawan,Local government officer,UD Sirait Siregar Tbk,Sulawesi Tenggara
84fc4fe5,Raisa Prastuti,Dentist,PD Waluyo Mulyani,Sulawesi Tenggara
03a84407,Keisha Rajata,Film/video editor,PT Adriansyah Halimah,Kalimantan Utara
3a6bdc3f,"Sutan Jayeng Adriansyah, S.T.",Energy manager,Perum Kuswandari,Kalimantan Tengah
51d85dad,Gina Adriansyah,"Programmer, systems",PD Prasetya Mangunsong,Kepulauan Riau
7698c427,Ajiman Nainggolan,Medical technical officer,Perum Nuraini Marpaung,DKI Jakarta
335f5e29,Baktiono Marbun,"Teacher, secondary school",CV Sihombing,Sumatera Selatan
247af806,"Mursinin Nasyidah, M.Kom.",Tour manager,PT Hariyah Tbk,DKI Jakarta
2f8ac884,"R.M. Emin Sihotang, S.T.","Journalist, newspaper",UD Setiawan Permadi,Gorontalo
e62046b3,Paulin Usamah,Operations geologist,UD Megantara Tbk,Kepulauan Bangka Belitung
7ec703d2,Karta Wacana,Hydrographic surveyor,Perum Laksmiwati Laksita,Sulawesi Barat
3e367e3e,"Lukman Wasita, S.Psi",Astronomer,UD Suryatmi Tbk,Banten
6bf7cbc5,"Drs. Natalia Wasita, M.Ak",Estate manager/land agent,PD Ardianto,Bengkulu
96ddca65,"Narji Puspita, S.Sos",Air traffic controller,UD Halimah,Sulawesi Tengah
0aa7434d,Marsito Mandasari,"Programmer, applications",PD Prasetyo Santoso,Kalimantan Timur
eb405136,Upik Sihombing,Special effects artist,CV Rajata Mardhiyah (Persero) Tbk,Jambi
d5edf8e4,Prabowo Wasita,Patent attorney,PT Januar Putra,Jambi
165db230,Hj. Wani Melani,"Engineer, water",PT Pradipta Tbk,Jawa Barat
ee6b9183,Putri Hutagalung,Hydrologist,UD Uyainah Tbk,DI Yogyakarta
a991f3b7,"Clara Kurniawan, S.Ked",General practice doctor,PD Saefullah Puspita (Persero) Tbk,Kepulauan Bangka Belitung
a3fc2cc8,"Kani Prasetyo, S.Pd",Automotive engineer,CV Lazuardi Hartati Tbk,Bengkulu
c83b6baf,"Nabila Sitompul, M.Farm",Water quality scientist,PD Tamba Lestari,Kalimantan Timur
e0625eba,R.M. Wawan Susanti,Press sub,PD Situmorang (Persero) Tbk,Aceh
7021bc5f,Marsito Nainggolan,"Engineer, control and instrumentation",UD Mardhiyah Laksita,Kalimantan Selatan
9f2e9d67,Zamira Padmasari,Sports coach,Perum Zulkarnain Suwarno,Bali
70b642eb,"drg. Karman Santoso, S.Psi","Scientist, product/process development",PT Zulaika Padmasari (Persero) Tbk,Sulawesi Tengah
1fa89809,Imam Halimah,Architectural technologist,PD Maryati,Jawa Tengah
169c613b,Drs. Ulva Sihotang,Risk analyst,PD Purwanti Tbk,Kalimantan Utara
db267963,Dina Budiman,"Psychologist, sport and exercise",Perum Winarsih,Kepulauan Bangka Belitung
703c7e67,Hani Wastuti,Chief Financial Officer,PD Jailani (Persero) Tbk,Aceh
ba2f2080,Elma Mustofa,"Buyer, industrial",PD Hidayanto,Bengkulu
82ba21d6,dr. Lukman Salahudin,Fashion designer,PT Padmasari Tbk,Sulawesi Tenggara
b0249048,Qori Lailasari,Occupational psychologist,Perum Nuraini,Kalimantan Selatan
373436b6,Makuta Wibowo,Scientific laboratory technician,PT Thamrin,Gorontalo
93de20d8,"Drs. Irfan Simbolon, S.I.Kom",Legal secretary,Perum Uwais Pradana (Persero) Tbk,Gorontalo
