ID_Karyawan,Nama_Lengkap,Profesi,Perusahaan,Provinsi
4a595194,Mursita Megantara,Senior tax professional/tax inspector,CV Latupono Saefullah (Persero) Tbk,Kepulauan Riau
3910f72a,Jatmiko Waluyo,Immigration officer,CV Yuliarti Hasanah Tbk,Kepulauan Riau
8c71c616,"Drs. Jatmiko Suwarno, S.Sos",Music therapist,UD Wulandari Kusmawati Tbk,Sulawesi Tenggara
729906e0,Dt. Olga Ardianto,"Surveyor, commercial/residential",PD Nasyidah Dabukke Tbk,DI Yogyakarta
741558b8,Tgk. Rahman Suwarno,"Presenter, broadcasting",UD Wasita Prakasa Tbk,Nusa Tenggara Barat
74115887,Iriana Iswahyudi,Textile designer,CV Mangunsong Siregar (Persero) Tbk,Banten
bd2cbe6d,Hilda Iswahyudi,"Engineer, drilling",PT Gunawan Situmorang,Sulawesi Utara
598f72a8,Tgk. Vero Hassanah,Artist,CV Lailasari (Persero) Tbk,Bali
81195dff,R. Malika Damanik,Osteopath,Perum Latupono (Persero) Tbk,Maluku Utara
d5643dd1,Jagapati Namaga,Environmental manager,CV Saragih Pertiwi,Kalimantan Tengah
c0ad6c06,Simon Wasita,Recruitment consultant,PT Wahyuni Tbk,DI Yogyakarta
64d575fb,"Jane Hardiansyah, M.Pd","Surveyor, commercial/residential",PD Mahendra (Persero) Tbk,Kalimantan Timur
7ff2a9de,Jelita Pradipta,Naval architect,CV Suryono,Sulawesi Utara
7bd15573,Lasmono Permata,Operational researcher,PD Sitompul,Maluku Utara
da2129b7,"Dr. Tasdik Pertiwi, S.Pt",Conference centre manager,PD Nasyidah,Aceh
63a334ec,Kamidin Fujiati,Patent attorney,PD Santoso Maulana,Jawa Tengah
87311836,Malika Pratiwi,Mining engineer,Perum Purnawati Tbk,Maluku Utara
43c133e3,Karna Maheswara,Theatre manager,Perum Mandasari (Persero) Tbk,Lampung
788cd318,"R. Irma Puspasari, M.Farm",Solicitor,PD Nasyidah (Persero) Tbk,Sulawesi Utara
84a9d034,Cornelia Wulandari,Trade union research officer,UD Usamah (Persero) Tbk,Jawa Tengah
ee5dbc37,Amalia Lestari,"Surveyor, quantity",UD Prakasa Nababan (Persero) Tbk,Banten
9caa4c49,Zelaya Mulyani,Neurosurgeon,CV Manullang Suryono (Persero) Tbk,Nusa Tenggara Barat
f8a99116,Elvina Nugroho,Advice worker,Perum Tarihoran Situmorang,Kalimantan Barat
390bcebc,Nardi Marbun,Geochemist,PD Marbun Prayoga,Maluku Utara
89b24ff0,Farah Lailasari,"Psychologist, forensic",PT Prastuti Wijaya,Riau
73e48ef0,Dina Tampubolon,"Scientist, research (life sciences)",UD Maryadi,Kepulauan Riau
e2f53d14,Puspa Setiawan,Newspaper journalist,UD Saputra Wijayanti (Persero) Tbk,Kalimantan Utara
cd7550a8,"Luwar Gunarto, S.Ked",Production manager,Perum Suartini Megantara (Persero) Tbk,Sulawesi Selatan
ee88609b,"H. Ajiono Maryati, M.TI.",Veterinary surgeon,Perum Setiawan Waskita (Persero) Tbk,Sumatera Barat
ba971f1a,Gandi Pratiwi,"Conservation officer, nature",UD Hutagalung Susanti (Persero) Tbk,Jawa Barat
159538c3,Hesti Pudjiastuti,Meteorologist,UD Hutapea,Banten
81dd38eb,"Samsul Andriani, M.Farm",Naval architect,PD Yuniar (Persero) Tbk,Kepulauan Riau
0ccf525c,Michelle Suryatmi,"Psychologist, counselling",UD Permadi Gunawan (Persero) Tbk,Kalimantan Selatan
653b16f7,Wirda Lailasari,"Engineer, petroleum",PT Wibowo Tbk,Papua Barat
b1fc7621,R. Puspa Natsir,Mechanical engineer,UD Usamah Rajata Tbk,Kalimantan Selatan
fa6bd35f,drg. Almira Tampubolon,Insurance claims handler,PT Nasyidah,Bengkulu
d812adaf,"Ir. Omar Maheswara, S.Kom","Engineer, petroleum",Perum Maulana Melani,Sumatera Utara
fdead3ce,Yulia Pranowo,"Education officer, museum",PD Mansur Wahyuni,Gorontalo
2c7ebb6a,Maida Wibisono,Product manager,UD Utami Permata Tbk,Papua
dc49fff7,Jinawi Lailasari,"Psychologist, clinical",PT Gunarto Saragih Tbk,Papua
4235ff98,"dr. Diah Nuraini, M.M.",Translator,CV Oktaviani Mandasari Tbk,Banten
5fe54042,Jindra Salahudin,Toxicologist,PD Nurdiyanti Tbk,Bengkulu
fc788b99,Farhunnisa Ardianto,"Accountant, chartered public finance",CV Pradana Hidayat,Kalimantan Selatan
687b19fa,Hj. Sakura Wijaya,Television camera operator,CV Adriansyah (Persero) Tbk,Kalimantan Timur
5b8387c1,Calista Fujiati,Tax inspector,CV Winarsih Waluyo (Persero) Tbk,Jambi
bb3ac882,"Darmaji Pranowo, S.T.",Estate agent,PD Halim Laksmiwati (Persero) Tbk,Kepulauan Riau
8469164c,"R. Kani Mayasari, M.Kom.",Tree surgeon,Perum Safitri Mustofa,Sumatera Barat
31e1e7b5,Jaiman Kuswandari,"Radiographer, diagnostic",PD Wibowo Tbk,Sumatera Barat
5ebadb61,"Dr. Vanesa Pratama, S.Ked",Illustrator,PT Andriani Tbk,Lampung
76b6de47,R. Hardana Firmansyah,"Teacher, music",CV Yolanda Setiawan,Jawa Timur
2d6f635b,dr. Rini Sudiati,Structural engineer,UD Hidayanto Nashiruddin,Kalimantan Tengah
dd7a2e84,Maras Pradana,"Engineer, water",CV Sinaga,Sumatera Barat
0f1648ae,"Ade Adriansyah, S.Pt","Development worker, community",Perum Oktaviani Laksita (Persero) Tbk,Kepulauan Bangka Belitung
4ce06054,Lasmono Prakasa,"Scientist, product/process development",PD Najmudin Tbk,Jawa Timur
7aad67c4,"Gina Habibi, S.IP","Restaurant manager, fast food",Perum Putra Manullang Tbk,Kalimantan Tengah
48e3176a,Radit Wahyudin,"Engineer, manufacturing",CV Handayani Prasasta,Jawa Barat
c7aaee87,"R.M. Edison Suartini, S.Pd","Lighting technician, broadcasting/film/video",PD Kuswoyo Rahimah (Persero) Tbk,Papua
aa5e96f4,"Cindy Sihombing, S.Kom",Social researcher,PT Prakasa (Persero) Tbk,Sumatera Selatan
a2c02cc7,Zulfa Maryadi,"Therapist, art",PD Permata Tbk,Maluku Utara
3b3b2eaa,Nabila Pranowo,Press photographer,Perum Safitri,Sumatera Utara
95dd3c03,Tgk. Karman Situmorang,"Journalist, broadcasting",PD Wahyuni Kusmawati,Sulawesi Tengah
b42640d2,"R. Prima Nugroho, S.T.",Jewellery designer,Perum Jailani (Persero) Tbk,Kepulauan Bangka Belitung
8b96aa0f,Zizi Pranowo,IT technical support officer,UD Yulianti (Persero) Tbk,Nusa Tenggara Barat
3ddfc5b4,Sabri Novitasari,"Engineer, site",Perum Prayoga Tbk,Kalimantan Barat
482d3d9e,Tania Nababan,Professor Emeritus,Perum Manullang Marbun Tbk,Jawa Tengah
bbd35e0b,"Harsanto Lestari, S.E.I",Chief of Staff,Perum Anggraini Ardianto Tbk,Kepulauan Riau
6c7c2420,"drg. Ani Aryani, S.H.",Midwife,PD Najmudin Natsir (Persero) Tbk,Sumatera Selatan
da4bdebe,Ellis Wahyuni,"Administrator, Civil Service",PD Wahyudin,Banten
d6536108,dr. Gilda Budiyanto,Retail merchandiser,PD Hidayat,Sumatera Utara
c166d9b1,Restu Tampubolon,Insurance claims handler,UD Wulandari Hidayat,Jawa Timur
a482b9f1,"Galih Prastuti, M.Kom.",Health visitor,PT Namaga,Bengkulu
659d49dd,Darijan Susanti,"Pharmacist, hospital",Perum Wasita,Bali
f185e157,"Ghaliyati Rahayu, S.Sos",Press photographer,PT Pangestu,Jawa Timur
acb7f346,Gaiman Lailasari,"Engineer, agricultural",PT Novitasari (Persero) Tbk,Maluku
031321f1,Amalia Suwarno,Freight forwarder,PD Ramadan Marbun Tbk,Sumatera Utara
0f4c5495,Alambana Thamrin,Psychiatrist,CV Melani,Sumatera Selatan
6f545e83,"Ir. Hasta Fujiati, S.Sos",Technical sales engineer,UD Maheswara Widodo,Kalimantan Selatan
f6f6e75c,"Karimah Anggraini, M.TI.","Investment banker, operational",Perum Suartini Halimah Tbk,Riau
a891ef68,Jasmin Puspita,"Physicist, medical",CV Wibisono (Persero) Tbk,Kalimantan Utara
a65d18c9,"Drs. Umaya Marpaung, S.E.","Merchandiser, retail",UD Safitri Rajasa,Sulawesi Tenggara
6a5faf1c,Asmadi Kusumo,Land/geomatics surveyor,UD Riyanti Saptono,Banten
6668f5c1,Almira Wastuti,"Engineer, communications",PT Mangunsong Budiyanto,Jambi
fa2a4b0a,Umi Putra,Architectural technologist,PD Winarno Tbk,Sumatera Selatan
5994def8,Hani Anggriawan,Community pharmacist,CV Utama Namaga,Gorontalo
baec0d80,Garda Pratama,Town planner,PT Suryatmi Gunawan,DI Yogyakarta
5ecb880e,Nugraha Wulandari,"Therapist, nutritional",PT Simanjuntak,Sulawesi Utara
8e840266,Tari Yuniar,"Research officer, government",CV Lailasari (Persero) Tbk,Bengkulu
6768686f,KH. Lega Laksita,"Surveyor, building",UD Oktaviani Januar,Maluku Utara
46b2a993,"Dagel Hutagalung, S.Pd","Psychotherapist, dance movement",PD Hartati,Sulawesi Utara
3491fbba,"Sutan Bakti Novitasari, M.TI.",Exercise physiologist,PT Dongoran Lailasari,Gorontalo
56c39486,"Dt. Uda Yuliarti, S.Psi",Geophysicist/field seismologist,Perum Latupono Sihotang (Persero) Tbk,Bengkulu
56665424,Gilda Nugroho,Economist,PT Damanik (Persero) Tbk,Sumatera Selatan
