ID_Karyawan,Nama_Lengkap,Profesi,Perusahaan,Provinsi
cb51c6d7,"R.M. Cawisono Agustina, S.Sos",Civil Service fast streamer,Perum Susanti (Persero) Tbk,Kalimantan Tengah
291e4716,Hasna Prayoga,Field trials officer,PD Winarsih (Persero) Tbk,Sulawesi Tenggara
839c68bc,Ina Ardianto,"Scientist, research (physical sciences)",UD Hutasoit,Kalimantan Tengah
e0221d7a,T. Asirwanda Saptono,Financial adviser,CV Narpati,Sulawesi Barat
33ffd836,"R.M. Tugiman Rahayu, S.Psi",Politician's assistant,PD Laksmiwati Pradana Tbk,Lampung
200726b4,"Ir. Yance Sihotang, S.I.Kom",Radio broadcast assistant,Perum Winarsih Tbk,Bali
2a693665,Tari Wasita,Health promotion specialist,Perum Nababan Novitasari,Maluku
c0d79ff8,"Cut Aisyah Lailasari, M.TI.",Government social research officer,PD Prayoga (Persero) Tbk,Lampung
985cf9e3,H. Gandi Mandasari,Commercial art gallery manager,PT Rajasa,Nusa Tenggara Timur
a2ce0bf3,"Dr. Tina Pradipta, S.Pt",Energy manager,PD Siregar (Persero) Tbk,Bali
7b4820e0,Pia Kuswandari,Publishing rights manager,PT Mustofa Situmorang (Persero) Tbk,Banten
